english,russian
you,ты
I or I.,Я или I.
to,к
the,то
a or A.,А или А.
and,а также
that,что
it,Это
of,из
me,меня
what,какие
is,является
in,в
this,это
know,знать
I'm,я
for,для
no,нет
have,имеют
my,мой
don't,нет
just,просто
not,нет
do,делать
be,быть
on,на
your,ваш
was,было
we,мы
it's,это
with,с участием
so,так
but,но
all,все
well,хорошо
are,находятся
he,он
oh,ой
about,о
right,Правильно
you're,Вы
get,получать
here,здесь
out,из
going,собирается
like,нравиться
yeah,Ага
if,если
her,ее
she,она
can,жестяная банка
up,вверх
want,хотеть
think,считать
that's,это
now,Теперь
go,идти
him,его
at,в
how,как
got,есть
there,там
one,один
did,делал
why,Почему
see,видеть
come,прийти
good,хороший
they,Oни
really,В самом деле
as,в качестве
would,бы
look,Смотреть
when,когда
time,время
will,буду
okay,Ладно
back,назад
can't,неверно
mean,иметь в виду
tell,рассказать
I'll,Больной
from,из
hey,Привет
were,мы
he's,он
could,мог
didn't,не
yes,да
his,его
been,был
or,или
something,что-то
who,кто
because,потому что
some,некоторые
had,было
then,тогда
say,сказать
ok,Ok
take,брать
an,ан.
way,способ
us,нас
little,маленький
make,делать
need,необходимость
gonna,собираюсь
never,никогда
we're,были
too,тоже
love,любовь
she's,она
I've,У меня есть
sure,Конечно
them,их
more,более
over,над
our,наш
sorry,извиняюсь
where,куда
what's,что
let,позволять
thing,вещь
am,являюсь
maybe,может быть
down,вниз
man,человек
has,имеет
uh,Эм-м-м
very,очень
by,к
there's,есть
should,должен
anything,что-нибудь
said,сказал
much,много
any,любой
life,жизнь
even,даже
off,выключенный
please,пожалуйста
doing,делает
thank,благодарить
give,давать
only,Только
thought,подумал
help,помощь
two,два
talk,разговаривать
people,люди
god,Бог
still,еще
wait,ждать
into,в
find,найти
nothing,ничего такого
again,опять таки
things,вещи
let's,Давайте
doesn't,нет
call,вызов
told,сказал
great,большой
before,до
better,лучше
ever,Когда-либо
night,ночь
than,чем
away,прочь
first,первый
believe,полагать
other,Другие
feel,Чувствовать
everything,все
work,Работа
you've,Вы
fine,отлично
home,дом
after,после
last,последний
these,эти
day,день
keep,хранить
does,делает
put,положил
around,около
stop,останавливаться
they're,они
I'd,Идентификатор
guy,парень
long,длинный
isn't,нет
always,всегда
listen,Слушать
wanted,хотел
Mr.,Мистер.
guys,ребята
huh,Хм
those,те
big,большой
lot,много
happened,произошло
thanks,Благодарность
won't,нет
trying,пытающийся
kind,Добрый
wrong,неправильный
through,через
talking,разговор
made,сделал
new,новый
being,существование
guess,Угадай
hi,Привет
care,уход
bad,плохой
mom,Мама
remember,помнить
getting,получающий
we'll,хорошо
together,вместе
dad,папа
leave,оставлять
mother,мать
place,место
understand,понимать
wouldn't,не будет
actually,на самом деле
hear,слышать
baby,детка
nice,отлично
father,отец
else,еще
stay,оставаться
done,сделано
wasn't,не было
their,их
course,курс
might,мог бы
mind,разум
every,каждый
enough,достаточно
try,пытаться
hell,ад
came,пришел
someone,кто-то
you'll,Вы будете
own,собственный
family,семья
whole,весь
another,Другая
house or House,дом или дом
Jack or jack,Джек или Джек
yourself,сам
idea,идея
ask,просить
best,Лучший
must,должен
coming,приходящий
old,Старый
looking,смотрящий
woman,женщина
hello,Привет
which,который
years,годы
room,комната
money,Деньги
left,левый
knew,знал
tonight,сегодня ночью
real,настоящий
son,сын
hope,надеяться
name,имя
same,тем же
went,пошел
um,ими
hmm,Хм
happy,счастливый
pretty,хорошенький
saw,пила
girl,девочка
sir,сэр
show,Показать
friend,друг
already,уже
saying,говорить
may or May,Май или май
next,следующий
three,три
job,работа
problem,проблема
minute,минута
found,нашел
world,Мир
thinking,думать
haven't,не
heard,слышал
honey,медовый